,Spring 2014 Game Schedule,,,,,,,,Mound,Base,,,
,15F2 vs 15F5,14UF1 vs 14UF3,12US1 vs 12US3,12UF2 vs 12UF6,10UF5 vs 10UF7,3,,,,,,,
,8:30,8:30,8:15,8:45,8:45,,,,,,,,
,15F1 vs 15F4,,14US1 vs 14US3,,,1,,,,,,,
,,,,,,,,,,,,,
Thu 3/13,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SRS2 vs SRS4,8U9 vs 8U11,8U10 vs 8U12,SS1 vs SS4,12UF2 vs 12UF7,,,,,,,,
,7:15,7:15,7:15,7:30,7:30,,,,,,,,
,19US1 vs 19US5,10UF2 vs 10UF4,12US2 vs 12US3,10UF8 vs 10UF10,12UF3 vs 12UF5,3,,,,,,,
,8:15,8:30,8:15,8:45,8:45,,,,,,,,
,19US2 vs 19US4,15F1 vs 15F3,14US2 vs 14US4,14UF2 vs 14UF3,,1,,,,,,,
,,,,,,,,,,,,,
Sat 3/15,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,,,,,,,,
,10:00,10:00,10:15,10:00,10:00,,,,,,,,
,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,,,,,,,,
,11:00,11:15,11:30,11:00,11:00,,,,,,,,
,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,,,,,,,,
,12:15,12:30,12:45,12:00,12:00,,,,,,,,
,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,,,,,,,,
,1:30,1:45,2:00,1:00,1:00,,,,,,,,
,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,St. Paddy's Tournament,,,,,,,,
,,,,,,,,,,,,,
Mon 3/17,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS2 vs SS3,SRS3 vs SRS4,8U1 vs 8U5,8U7 vs 8U9,10UF7 vs 10UF9,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,12UF5 vs 12UF7,19US3 vs 19US5,12US2 vs 12US3,12UF1 vs 12UF4,10UF4 vs 10UF8,4,,,,,,,
,8:30,8:15,8:15,8:30,8:45,,,,,,,,
,15F1 vs 15F6,19US1 vs 19US4,14US3 vs 14US4,14UF1 vs 14UF2,,1,,,,,,,
,,,,,,,,,,,,,
Tue 3/18,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS4 vs SS5,SRS4 vs SRS5,8U4 vs 8U6,8U2 vs 8U3,12UF4 vs 12UF6,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,,19US4 vs 19US5,12US1 vs 12US2,10UF2 vs 10UF6,10UF1 vs 10UF5,3,,,,,,,
,8:15,8:15,8:15,8:30,8:45,,,,,,,,
,,19US2 vs 19US3,14US1 vs 14US2,14UF2 vs 14UF3,,1,,,,,,,
,,,,,,,,,,,,,
Thu 3/20,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,10UF8 vs 10UF9,SRS2 vs SRS3,SS3 vs SS5,8U8 vs 8U12,8U10 vs 8U11,,,,,,,,
,7:30,7:15,7:15,7:15,7:15,,,,,,,,
,12UF2 vs 12UF5,12UF4 vs 12UF7,12UF3 vs 12UF6,15F2 vs 15F4,10UF3 vs 10UF10,4,,,,,,,
,8:45,8:30,8:30,8:30,8:30,,,,,,,,
,,15F3 vs 15F5,14UF1 vs 14UF3,,,,,,,,,,
,,,,,,,,,,,,,
Sat 3/22,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,SS1 vs SS3,SS2 vs SS5,10UF1 vs 10UF6,SRS1 vs SRS3,8U1 vs 8U10,,,,,,,,
,10:00,10:00,10:15,10:00,10:00,,,,,,,,
,SRS2 vs SRS5,14UF2 vs 14UF3,10UF3 vs 10UF8,8U6 vs 8U12,8U2 vs 8U7,1,,,,,,,
,11:00,11:15,11:30,11:00,11:00,,,,,,,,
,12UF3 vs 12UF7,15F1 vs 15F5,10UF2 vs 10UF7,12US2 vs 12US3,8U3 vs 8U8,2,,,,,,,
,12:15,12:30,12:45,12:00,12:00,,,,,,,,
,12UF1 vs 12UF6,15F2 vs 15F3,10UF4 vs 10UF9,14US1 vs 14US3,8U4 vs 8U9,1,,,,,,,
,1:30,1:45,2:00,1:00,1:00,,,,,,,,
,12UF2 vs 12UF4,15F4 vs 15F6,10UF5 vs 10UF10,14US2 vs 14US4,8U5 vs 8U11,,,,,,,,
,,,,,,,,,,,,,
Mon 3/24,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS1 vs SS4,SRS1 vs SRS4,8U1 vs 8U7,8U2 vs 8U10,8U8 vs 8U11,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,SRS3 vs SRS5,12UF4 vs 12UF5,10UF1 vs 10UF7,19US1 vs 19US4,10UF4 vs 10UF6,4,*7:15 SRS game,,,,,,
,8:15,8:30,8:30,8:15,8:45,,,,,,,,
,,14UF1 vs 14UF2,15F3 vs 15F6,19US2 vs 19US3,,,,,,,,,
,,,,,,,,,,,,,
Tue 3/25,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS2 vs SS3,SRS4 vs SRS5,8U3 vs 8U5,8U4 vs 8U8,10UF5 vs 10UF8,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,14US2 vs 14US3,12UF1 vs 12UF5,12UF2 vs 12UF3,12US1 vs 12US2,10UF2 vs 10UF10,4,,,,,,,
,8:15,8:30,8:30,8:15,8:45,,,,,,,,
,14US1 vs 14US4,14UF1 vs 14UF3,15F4 vs 15F5,19US1 vs 19US3,,1,,,,,,,
,,,,,,,,,,,,,
Thu 3/27,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS4 vs SS5,SRS2 vs SRS3,8U9 vs 8U12,8U6 vs 8U11,8U7 vs 8U10,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,SRS1 vs SRS4,12US1 vs 12US3,12UF1 vs 12UF3,12UF6 vs 12UF7,10UF3 vs 10UF9,4,*7:15 SRS game,,,,,,
,8:15,8:15,8:30,8:30,8:45,,,,,,,,
,,19US2 vs 19US5,15F2 vs 15F5,15F1 vs 15F4,,1,,,,,,,
,,,,,,,,,,,,,
Sat 3/29,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,10:30,10:30,10:30,10:30,10:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,12:00,12:00,12:00,12:00,12:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,1:30,1:30,1:30,1:30,1:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,3:00,3:00,3:00,3:00,3:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,,,,,,,,,,,,,
Mon 3/31,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,,,,,,,,,,,,,
Tue 4/1,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,,,,,,,,,,,,,
Thu 4/3,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:00,6:00,6:00,6:00,6:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,8:30,8:30,8:30,8:30,8:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,,,,,,,,,,,,,
Sat 4/5,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,10:30,10:30,10:30,10:30,10:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,12:00,12:00,12:00,12:00,12:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,1:30,1:30,1:30,1:30,1:30,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,3:00,3:00,3:00,3:00,3:00,,,,,,,,
,Spring Break,Spring Break,Spring Break,Spring Break,Spring Break,,,,,,,,
,,,,,,,,,,,,,
Mon 4/7,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS2 vs SS3,SRS1 vs SRS5,8U1 vs 8U8,8U2 vs 8U12,10UF1 vs 10UF8,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,14US2 vs 14US3,12US1 vs 12US3,10UF3 vs 10UF6,10UF7 vs 10UF10,10UF2 vs 10UF9,4,,,,,,,
,8:15,8:15,8:30,8:30,8:45,,,,,,,,
,19US4 vs 19US5,19US1 vs 19US3,,15F5 vs 15F6,,2,,,,,,,
,,,,,,,,,,,,,
Tue 4/8,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS1 vs SS5,SRS4 vs SRS5,8U3 vs 8U11,8U4 vs 8U10,10UF3 vs 10UF5,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,12US1 vs 12US2,12UF3 vs 12UF5,12UF2 vs 12UF7,14US1 vs 14US2,10UF6 vs 10UF10,4,,,,,,,
,8:15,8:30,8:30,8:15,8:45,,,,,,,,
,19US1 vs 19US5,14UF1 vs 14UF2,,14US3 vs 14US4,,1,,,,,,,
,,,,,,,,,,,,,
Thu 4/10,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,12UF2 vs 12UF6,SRS2 vs SRS3,8U5 vs 8U9,8U6 vs 8U7,8U1 vs 8U4,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,12UF1 vs 12UF7,15F1 vs 15F2,12US1 vs 12US3,19US4 vs 19US5,10UF4 vs 10UF7,4,,,,,,,
,8:30,8:30,8:15,8:15,8:45,,,,,,,,
,,15F3 vs 15F4,14US1 vs 14US4,19US2 vs 19US3,,1,,,,,,,
,,,,,,,,,,,,,
Sat 4/12,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,SS2 vs SS4,SS3 vs SS5,10UF1 vs 10UF9,SRS3 vs SRS5,8U1 vs 8U9,,,,,,,,
,10:00,10:00,10:15,10:00,10:00,,,,,,,,
,SRS2 vs SRS4,14UF2 vs 14UF3,10UF2 vs 10UF3,8U7 vs 8U12,8U2 vs 8U6,1,,,,,,,
,11:00,11:15,11:30,11:00,11:00,,,,,,,,
,12UF3 vs 12UF4,15F1 vs 15F3,10UF5 vs 10UF7,12US2 vs 12US3,8U3 vs 8U10,2,,,,,,,
,12:15,12:30,12:45,12:00,12:00,,,,,,,,
,12UF5 vs 12UF6,15F2 vs 15F6,10UF6 vs 10UF8,14US1 vs 14US3,8U4 vs 8U11,1,,,,,,,
,1:30,1:45,2:00,1:00,1:00,,,,,,,,
,12UF1 vs 12UF2,15F4 vs 15F5,10UF4 vs 10UF10,14US2 vs 14US4,8U5 vs 8U8,,,,,,,,
,,,,,,,,,,,,,
Mon 4/14,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS1 vs SS2,SRS1 vs SRS3,8U1 vs 8U6,8U2 vs 8U11,8U9 vs 8U12,,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,,
,,10UF1 vs 10UF10,10UF2 vs 10UF5,12US2 vs 12US3,10UF6 vs 10UF7,4,,,,,,,
,8:15,8:30,8:30,8:15,8:45,,,,,,,,
,,14UF2 vs 14UF3,15F1 vs 15F6,19US3 vs 19US5,,1,,,,,,,
,,,,,,,,,,,,,
Tue 4/15,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,12UF5 vs 12UF7,SS4 vs SS5,8U3 vs 8U12,8U4 vs 8U7,8U2 vs 8U5,,,,,,,,
,7:30,7:15,7:15,7:15,7:15,,,,,,,,
,12UF4 vs 12UF6,14US2 vs 14US3,12US1 vs 12US3,10UF2 vs 10UF8,10UF3 vs 10UF9,4,,,,,,,
,8:45,8:15,8:15,8:30,8:30,,,,,,,,
,,19US2 vs 19US4,14US1 vs 14US4,14UF1 vs 14UF3,,2,,,,,,,
,,,,,,,,,,,,,
Thu 4/17,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS1 vs SS3,SRS1 vs SRS2,8U5 vs 8U10,8U8 vs 8U9,8U3 vs 8U6,,,,,,,,
,7:15,7:15,7:15,7:15,7:15,,,,,,,,
,19US1 vs 19US3,12UF3 vs 12UF6,15F3 vs 15F5,10UF4 vs 10UF5,12UF1 vs 12UF4,5,,,,,,,
,8:15,8:30,8:30,8:30,8:30,,,,,,,,
,19US2 vs 19US5,14UF1 vs 14UF3,,15F2 vs 15F4,,,,,,,,,
,,,,,,,,,,,,,
Sat 4/19,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,SS1 vs SS4,SS2 vs SS5,10UF4 vs 10UF6,SRS2 vs SRS5,8U3 vs 8U9,,,,,,,,
,10:00,10:00,10:15,10:00,10:00,,,,,,,,
,SRS1 vs SRS4,14UF1 vs 14UF2,10UF1 vs 10UF2,8U2 vs 8U8,8U6 vs 8U10,1,,,,,,,
,11:00,11:15,11:30,11:00,11:00,,,,,,,,
,12UF2 vs 12UF5,15F1 vs 15F5,10UF3 vs 10UF7,12US1 vs 12US2,8U1 vs 8U12,2,,,,,,,
,12:15,12:30,12:45,12:00,12:00,,,,,,,,
,12UF4 vs 12UF7,15F2 vs 15F3,10UF5 vs 10UF9,14US1 vs 14US2,8U4 vs 8U5,1,,,,,,,
,1:30,1:45,2:00,1:00,1:00,,,,,,,,
,12UF1 vs 12UF3,15F4 vs 15F6,10UF8 vs 10UF10,14US3 vs 14US4,8U7 vs 8U11,,,,,,,,
,,,,,,,,,,,,,
Mon 4/21,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS3 vs SS4,SRS3 vs SRS4,8U1 vs 8U11,8U2 vs 8U9,10UF1 vs 10UF3,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,,19US1 vs 19US2,14UF1 vs 14UF2,12US1 vs 12US2,10UF7 vs 10UF8,3,,,,,,,
,8:15,8:15,8:30,8:15,8:45,,,,,,,,
,,19US3 vs 19US4,15F3 vs 15F6,14US2 vs 14US4,,1,,,,,,,
,,,,,,,,,,,,,
Tue 4/22,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS2 vs SS5,SRS3 vs SRS5,8U8 vs 8U10,8U4 vs 8U12,10UF5 vs 10UF6,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,19US1 vs 19US4,12UF4 vs 12UF5,12US2 vs 12US3,12UF2 vs 12UF3,10UF9 vs 10UF10,4,,,,,,,
,8:15,8:30,8:15,8:30,8:45,,,,,,,,
,19US3 vs 19US5,14UF2 vs 14UF3,14US1 vs 14US3,15F2 vs 15F5,,1,,,,,,,
,,,,,,,,,,,,,
Thu 4/24,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS3 vs SS5,SRS1 vs SRS2,8U3 vs 8U7,8U5 vs 8U6,10UF2 vs 10UF4,,,,,,,,
,7:15,7:15,7:15,7:15,7:30,,,,,,,,
,,,12UF6 vs 12UF7,12UF1 vs 12UF5,15F1 vs 15F4,2,,,,,,,
,8:15,8:15,8:30,8:30,8:45,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sat 4/26,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,9:00,9:00,9:00,9:00,9:00,,,,,,,,
,SS1 vs SS3,SS2 vs SS4,10UF1 vs 10UF4,SRS1 vs SRS3,8U5 vs 8U12,,,,,,,,
,10:00,10:00,10:15,10:00,10:00,,,,,,,,
,SRS2 vs SRS4,14UF1 vs 14UF3,10UF2 vs 10UF3,8U1 vs 8U2,8U6 vs 8U9,1,,,,,,,
,11:00,11:15,11:30,11:00,11:00,,,,,,,,
,12UF2 vs 12UF4,15F1 vs 15F2,10UF5 vs 10UF8,12US1 vs 12US3,8U3 vs 8U4,2,,,,,,,
,12:15,12:30,12:45,12:00,12:00,,,,,,,,
,12UF3 vs 12UF7,15F3 vs 15F4,10UF6 vs 10UF10,14US1 vs 14US4,8U10 vs 8U11,1,,,,,,,
,1:30,1:45,2:00,1:00,1:00,,,,,,,,
,12UF1 vs 12UF6,15F5 vs 15F6,10UF7 vs 10UF9,14US2 vs 14US3,8U7 vs 8U8,,,,,,,,
,,,,,,,,,,,,,
Mon 4/28,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS1 vs SS2,8U1 vs 8U3,8U2 vs 8U4,10UF1 vs 10UF4,SS3 vs SS4,,,,,,,,
,7:15,7:15,7:15,7:30,7:15,,,,,,,,
,15F1 vs 15F6,12US2 vs 12US3,19US1 vs 19US2,10UF8 vs 10UF9,10UF2 vs 10UF6,3,,,,,,,
,8:30,8:15,8:15,8:45,8:30,,,,,,,,
,15F2 vs 15F6,,19US3 vs 19US4,,14UF2 vs 14UF3,,,,,,,,
,,,,,,,,,,,,,
Tue 4/29,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SRS1 vs SRS5,8U5 vs 8U7,8U6 vs 8U8,10UF3 vs 10UF7,12UF1 vs 12UF2,,,,,,,,
,7:15,7:15,7:15,7:30,7:30,,,,,,,,
,14US1 vs 14US2,12US1 vs 12US2,14UF1 vs 14UF2,10UF1 vs 10UF5,12UF3 vs 12UF4,3,,,,,,,
,8:15,8:15,8:30,8:45,8:45,,,,,,,,
,14US3 vs 14US4,19US2 vs 19US5,,,,1,,,,,,,
,,,,,,,,,,,,,
Thu 5/1,Field 1,Field 2,Field 3,Field 4,Field 5,,,,,,,,
,6:15,6:15,6:15,6:15,6:15,,,,,,,,
,SS1 vs SS5,SRS2 vs SRS5,8U9 vs 8U10,8U11 vs 8U12,10UF4 vs 10UF10,,,,,,,,
,7:15,7:15,7:15,7:30,7:30,,,,,,,,
,,19US2 vs 19US4,12UF5 vs 12UF6,12UF1 vs 12UF7,15F2 vs 15F3,3,,,,,,,
,8:15,8:15,8:30,8:30,8:45,,,,,,,,
,,19US1 vs 19US5,,15F4 vs 15F5,,,,,,,,,
